Animal_ID,Deployment_ID,Tags_SatTag_Manufacturer,Tags_SatTag_Model,Tags_SatTag_ID,Tags_PTT,Data_Track_QCFlag,Tags_SatTag_Comments,Tags_TDR1_Manufacturer,Tags_TDR1_Model,Tags_TDR1_ID,Tags_TDR1_Loc,Data_TDR1_QCFlag,Tags_TDR1_Comments,Tags_TDR2_Manufacturer,Tags_TDR2_Model,Tags_TDR2_ID,Tags_TDR2_Loc,Data_TDR2_QCFlag,Tags_TDR2_Comments,Tags_TDR3_Manufacturer,Tags_TDR3_Model,Tags_TDR3_ID,Tags_TDR3_Loc,Data_TDR3_QCFlag,Tags_TDR3_Comments,Data_TDR1_DepthResolution_m,Data_TDR1_SamplingFrequency_Hz,Data_TDR2_DepthResolution_m,Data_TDR2_SamplingFrequency_Hz,Data_TDR3_DepthResolution_m,Data_TDR3_SamplingFrequency_Hz,Deployment_Departure_Datetime,Deployment_Arrival_Datetime,Deployment_Departure_Lat,Deployment_Departure_Lon,Deployment_Arrival_Lat,Deployment_Arrival_Lon,Deployment_Departure_Loc,Deployment_Arrival_Loc,Deployment_Trip,Animal_BirthYear,Animal_AgeClass,Animal_Sex,Deployment_Manipulation,Deployment_ManipulationType,Animal_HadPup,Deployment_Year
M627,2005013,Wildlife Computers,SPOT,04S0651,56476,1,NA,Wildlife Computers,Mk9,490159,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/27/2005 4:15,5/28/2005 1:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,NA,N/A,2005
R440,2005014,Wildlife Computers,SPOT,NA,56477,1,NA,Wildlife Computers,Mk9,490155,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/27/2005 13:00,5/19/2005 1:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1999,Adult,F,N,NA,N/A,2005
R528,2005015,Wildlife Computers,SPOT,04S0654,56479,1,NA,Wildlife Computers,Mk9,490160,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/1/2005 3:00,5/30/2005 21:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2000,Adult,F,N,NA,N/A,2005
R834,2005016,SMRU,NA,10060,28592,4,NA,Wildlife Computers,Mk9,490353,Back,1,NA,SMRU,NA,10060,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/3/2005 5:15,5/2/2005 19:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2000,Adult,F,N,NA,N/A,2005
L274,2005017,Wildlife Computers,SPOT,NA,39453,3,NA,Wildlife Computers,Mk9,490233,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/27/2005 8:00,5/20/2005 21:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1995,Adult,F,N,NA,N/A,2005
O176,2005018,Wildlife Computers,SPOT,NA,56478,2,NA,Wildlife Computers,Mk9,490853,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/3/2005 12:00,5/7/2005 9:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,NA,N/A,2005
W1095,2005019,SMRU,NA,10056,22925,1,NA,Wildlife Computers,Mk9,490231,Back,1,NA,SMRU,NA,10056,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/4/2005 7:00,5/19/2005 9:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,NA,N/A,2005
1913,2005020,Wildlife Computers,SPOT,NA,56480,2,NA,Wildlife Computers,Mk9,490874,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,5/23/2005 1:30,11/24/2005 16:00,37.116396,-122.330756,NaN,NaN,ANNU,NA,PM,2001,Adult,F,N,NA,N/A,2005
L844,2005021,Wildlife Computers,SPOT,04S0656,56481,3,NA,Wildlife Computers,Mk9,490875,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/24/2005 2:45,1/8/2006 11:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,NA,Y,2005
O651,2005022,Wildlife Computers,SPOT,04S0657,56482,3,NA,Wildlife Computers,Mk9,490876,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,5/30/2005 12:00,1/5/2006 20:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1997,Adult,F,N,NA,Y,2005
